Mês/Ano;Saldo Inicial;Aplicações;Resgates;Impostos Pagos;Saldo Movimentações;Rendimento Nominal;Saldo Final
(i) 29/07/2024;90974927,5585;700000;0;0;700000;1507,6906945;91676435,2492
Jul/2024;91676435,2492;5946024,69;0;3452,29942041;5946024,69;147557,528389;97766565,1682
Ago/2024;97766565,1682;70174229,7;74989874,1826;406546,013466;-4815644,48262;1649564,5533;94193939,2254
Set/2024;94193939,2254;52651,51;10125,6500411;20,2099589136;42525,8599589;686002,193136;94922447,0685
2024;91676435,2492;76172905,9;74999999,8327;410018,522845;1172906,06734;2483124,27482;94922447,0685
