Mês/Ano;Saldo Inicial;Aplicações;Resgates;Impostos Pagos;Saldo Movimentações;Rendimento Nominal;Saldo Final
(i) 29/07/2024;90974927,5585;700000;0;0;700000;1507,6906945;91676435,2492
Jul/2024;91676435,2492;5946024,69;0;3452,29942041;5946024,69;147557,528389;97766565,1682
Ago/2024;97766565,1682;70174229,7;74989874,1826;806820,624544;-4815644,48262;7768378,61234;99912478,6734
Set/2024;99912478,6734;52651,51;10125,6500411;20,2099589136;42525,8599589;686052,796265;100641037,12
2024;91676435,2492;76172905,9;74999999,8327;810293,133923;1172906,06734;8601988,93699;100641037,12
