key,value
tab3_lin1_col0,(i) 29/07/2024
tab3_lin1_col1,"90974927,5585"
tab3_lin1_col2,700000
tab3_lin1_col3,0
tab3_lin1_col4,0
tab3_lin1_col5,700000
tab3_lin1_col6,"1507,6906945"
tab3_lin1_col7,"91676435,2492"
tab3_lin2_col0,Jul/2024
tab3_lin2_col1,"91676435,2492"
tab3_lin2_col2,"5946024,69"
tab3_lin2_col3,0
tab3_lin2_col4,"3452,29942041"
tab3_lin2_col5,"5946024,69"
tab3_lin2_col6,"147557,528389"
tab3_lin2_col7,"97766565,1682"
tab3_lin3_col0,Ago/2024
tab3_lin3_col1,"97766565,1682"
tab3_lin3_col2,"70174229,7"
tab3_lin3_col3,"74989874,1826"
tab3_lin3_col4,"406546,013466"
tab3_lin3_col5,"-4815644,48262"
tab3_lin3_col6,"1649564,5533"
tab3_lin3_col7,"94193939,2254"
tab3_lin4_col0,Set/2024
tab3_lin4_col1,"94193939,2254"
tab3_lin4_col2,"52651,51"
tab3_lin4_col3,"10125,6500411"
tab3_lin4_col4,"20,2099589136"
tab3_lin4_col5,"42525,8599589"
tab3_lin4_col6,"686002,193136"
tab3_lin4_col7,"94922447,0685"
tab3_lin5_col0,2024
tab3_lin5_col1,"91676435,2492"
tab3_lin5_col2,"76172905,9"
tab3_lin5_col3,"74999999,8327"
tab3_lin5_col4,"410018,522845"
tab3_lin5_col5,"1172906,06734"
tab3_lin5_col6,"2483124,27482"
tab3_lin5_col7,"94922447,0685"
tab4_lin0_col0,Informações Adicionais. Período da Análise: 29/07/2024 a 19/09/2024
tab5_lin0_col0,
tab5_lin0_col1,Carteira
tab5_lin0_col2,CDI
tab5_lin1_col0,Retorno no período
tab5_lin1_col1,"2,9615142515"
tab5_lin1_col2,"1,50315245827"
tab5_lin2_col0,Retorno nos últimos 6 meses
tab5_lin2_col1,"4,54635873936"
tab5_lin2_col2,"5,18609530962"
tab5_lin3_col0,Retorno nos últimos 12 meses
tab5_lin3_col1,"12,9525280786"
tab5_lin3_col2,"11,1024944715"
tab5_lin4_col0,Volatilidade no período
tab5_lin4_col1,"3,94299950053"
tab5_lin4_col2,"1,51390586687E-9"
tab5_lin5_col0,Índice de Sharpe no período (CDI)
tab5_lin5_col1,"2,74537845899"
tab5_lin5_col2,0
tab6_lin0_col0,
tab6_lin0_col1,
tab6_lin1_col0,Maior rentabilidade mensal
