;Ativo;Saldo Bruto 30/08/24;Movimentação;Rendimento Bruto;Saldo Bruto 19/09/24;%
    ;Fundos;58559864,2946;46324,71;689367,177089;59295556,18;62,4673699533
    ;Renda Fixa;19403642,9031;0;104729,177791;19508372,0809;20,5519059854
    ;Genérico;5344258,28971;0;25761,28621;5370019,57592;5,6572704788
    ;Previdência;4422318,93422;0;18465,8258958;4440784,76012;4,6783294122
    ;Ações/ETFs;4299821,4;0;-140486,64;4155515,7;4,3778008555
    ;Debêntures;1130827,67357;0;-14868,11568;1115959,55789;1,1756540126
    ;CRI/CRA;1033205,72989;0;3033,48383;1036239,21372;1,0916693002
